soimoistdept_l,soimoistdept_r,soimoistdept_h,soimoistdepb_l,soimoistdepb_r,soimoistdepb_h,soimoiststat,month,runoff,areaname
0,0,0,183,183,183,Wet,May,Negligible,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,183,183,183,Wet,June,Negligible,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,183,183,183,Wet,July,Negligible,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,183,183,183,Wet,August,Negligible,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,183,183,183,Wet,September,Negligible,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,183,183,183,Wet,October,Negligible,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,183,183,183,Wet,November,Negligible,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,0,0,183,183,183,Wet,December,Negligible,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

30,46,61,183,183,183,Wet,April,Medium,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

30,46,61,183,183,183,Wet,July,Medium,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

30,46,61,183,183,183,Wet,June,Medium,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

30,46,61,183,183,183,Wet,May,Medium,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,92,183,183,183,183,Wet,April,,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,92,183,183,183,183,Wet,August,,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,92,183,183,183,183,Wet,December,,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,92,183,183,183,183,Wet,February,,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,92,183,183,183,183,Wet,January,,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,92,183,183,183,183,Wet,July,,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,92,183,183,183,183,Wet,June,,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,92,183,183,183,183,Wet,March,,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,92,183,183,183,183,Wet,May,,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,92,183,183,183,183,Wet,November,,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,92,183,183,183,183,Wet,October,,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

0,92,183,183,183,183,Wet,September,,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

30,106,183,183,183,183,Wet,April,Very low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

30,106,183,183,183,183,Wet,August,Very low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

30,106,183,183,183,183,Wet,July,Very low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

30,106,183,183,183,183,Wet,June,Very low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

30,106,183,183,183,183,Wet,March,Very low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

30,106,183,183,183,183,Wet,May,Very low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

30,106,183,183,183,183,Wet,September,Very low,"Fort Defiance Area, Parts of Apache and Navajo Counties, Arizona and McKinley and San Juan Counties, New Mexico"

,0,,,160,,Moist,January,Very high,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,February,Very high,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,March,Very high,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,April,Very high,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,May,Very high,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,May,Very high,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,June,Very high,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,June,Very high,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,July,Very high,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,July,Very high,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,August,Very high,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,September,Very high,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,October,Very high,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,November,Very high,"Santa Clara Area, California, Western Part"

,0,,,50,,Moist,December,Very high,"Santa Clara Area, California, Western Part"

,50,,,160,,Dry,December,Very high,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,December,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,December,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,November,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,November,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,October,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,October,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,September,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,September,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,August,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,August,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,July,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,July,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,June,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,June,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,May,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,May,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,April,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,April,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,March,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,March,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,February,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,February,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,January,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,January,Very low,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,January,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,January,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,February,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,February,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,March,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,March,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,April,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,April,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,May,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,May,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,June,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,June,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,July,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Dry,July,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,August,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Dry,August,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,September,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Dry,September,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,October,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,October,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,November,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,November,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,December,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,December,Very high,"Santa Clara Area, California, Western Part"

0,0,0,0,0,0,Wet,December,High,"Santa Clara Area, California, Western Part"

0,0,0,0,0,0,Wet,November,High,"Santa Clara Area, California, Western Part"

0,0,0,0,0,0,Wet,October,High,"Santa Clara Area, California, Western Part"

0,0,0,0,0,0,Wet,September,High,"Santa Clara Area, California, Western Part"

0,0,0,0,0,0,Wet,August,High,"Santa Clara Area, California, Western Part"

0,0,0,0,0,0,Wet,July,High,"Santa Clara Area, California, Western Part"

0,0,0,0,0,0,Wet,June,High,"Santa Clara Area, California, Western Part"

0,0,0,0,0,0,Wet,May,High,"Santa Clara Area, California, Western Part"

0,0,0,0,0,0,Wet,April,High,"Santa Clara Area, California, Western Part"

0,0,0,0,0,0,Wet,March,High,"Santa Clara Area, California, Western Part"

0,0,0,0,0,0,Wet,February,High,"Santa Clara Area, California, Western Part"

0,0,0,0,0,0,Wet,January,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,January,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,February,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,March,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,April,High,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,May,High,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,May,High,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,June,High,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,June,High,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,July,High,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,July,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,August,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,September,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,October,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,November,High,"Santa Clara Area, California, Western Part"

,0,,,50,,Moist,December,High,"Santa Clara Area, California, Western Part"

,50,,,160,,Dry,December,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,January,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,February,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,March,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,April,Medium,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,May,Medium,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,May,Medium,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,June,Medium,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,June,Medium,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,July,Medium,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,July,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,August,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,September,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,October,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,November,Medium,"Santa Clara Area, California, Western Part"

,0,,,50,,Moist,December,Medium,"Santa Clara Area, California, Western Part"

,50,,,160,,Dry,December,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,January,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,February,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,March,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,April,High,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,May,High,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,May,High,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,June,High,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,June,High,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,July,High,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,July,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,August,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,September,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,October,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,November,High,"Santa Clara Area, California, Western Part"

,0,,,50,,Moist,December,High,"Santa Clara Area, California, Western Part"

,50,,,160,,Dry,December,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,January,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,February,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,March,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,April,Medium,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,May,Medium,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,May,Medium,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,June,Medium,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,June,Medium,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,July,Medium,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,July,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,August,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,September,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,October,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,November,Medium,"Santa Clara Area, California, Western Part"

,0,,,50,,Moist,December,Medium,"Santa Clara Area, California, Western Part"

,50,,,160,,Dry,December,Medium,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,July,Low,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,July,Low,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,August,Low,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,September,Low,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,October,Low,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,November,Low,"Santa Clara Area, California, Western Part"

,0,,,50,,Moist,December,Low,"Santa Clara Area, California, Western Part"

,50,,,160,,Dry,December,Low,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,January,Low,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,February,Low,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,March,Low,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,April,Low,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,May,Low,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,May,Low,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,June,Low,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,June,Low,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,January,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,February,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,March,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,April,High,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,May,High,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,May,High,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,June,High,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,June,High,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,July,High,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,July,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,August,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,September,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,October,High,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,November,High,"Santa Clara Area, California, Western Part"

,0,,,50,,Moist,December,High,"Santa Clara Area, California, Western Part"

,50,,,160,,Dry,December,High,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,December,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,December,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,November,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,November,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,October,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,October,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,September,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,September,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,August,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,August,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,July,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,July,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,June,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,June,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,May,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,May,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,April,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,April,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,March,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,March,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,February,Very low,"Santa Clara Area, California, Western Part"

0,0,0,89,89,89,Moist,February,Very low,"Santa Clara Area, California, Western Part"

80,89,90,150,150,150,Wet,January,Very low,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,January,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,January,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,February,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,February,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,March,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,March,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,April,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,April,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,May,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,May,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,June,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,June,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,July,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Dry,July,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,August,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Dry,August,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,November,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,November,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,December,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,December,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,September,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Dry,September,Very high,"Santa Clara Area, California, Western Part"

,89,,,150,,Wet,October,Very high,"Santa Clara Area, California, Western Part"

,0,,,89,,Moist,October,Very high,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,January,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,February,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,March,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,April,Medium,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,May,Medium,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,May,Medium,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,June,Medium,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,June,Medium,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,July,Medium,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,July,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,August,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,September,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,October,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Dry,November,Medium,"Santa Clara Area, California, Western Part"

,0,,,50,,Moist,December,Medium,"Santa Clara Area, California, Western Part"

,50,,,160,,Dry,December,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,January,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,February,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,March,Medium,"Santa Clara Area, California, Western Part"

,0,,,160,,Moist,April,Medium,"Santa Clara Area, California, Western Part"

,0,,,90,,Dry,May,Medium,"Santa Clara Area, California, Western Part"

,90,,,160,,Moist,May,Medium,"Santa Clara Area, California, Western Part"

